e6345036-32b5-4aee-ae58-446f3a757a08,10564,52.5691500000,-0.4480866667,,58682,research,2011-04-10,48460/47170/48250/372740/152032/48717/56831/56830/1062674,10,species,Morchella esculenta,t,11890735,48d76644-8a03-4b31-984d-fe711da863f6,jpg,CC-BY-NC,1200,800,0
e6345036-32b5-4aee-ae58-446f3a757a08,10564,52.5691500000,-0.4480866667,,58682,research,2011-04-10,48460/47170/48250/372740/152032/48717/56831/56830/1062674,10,species,Morchella esculenta,t,11890728,bda6005d-ac77-4911-be98-871751b09f4d,jpg,CC-BY-NC,533,800,1
e6345036-32b5-4aee-ae58-446f3a757a08,10564,52.5691500000,-0.4480866667,,58682,research,2011-04-10,48460/47170/48250/372740/152032/48717/56831/56830/1062674,10,species,Morchella esculenta,t,11890733,3ba6adc8-40d4-4160-84d0-ed76316ce1a4,jpg,CC-BY-NC,533,800,2
e6345036-32b5-4aee-ae58-446f3a757a08,10564,52.5691500000,-0.4480866667,,58682,research,2011-04-10,48460/47170/48250/372740/152032/48717/56831/56830/1062674,10,species,Morchella esculenta,t,11890734,41e9ae01-f5c0-4d61-9c25-d324caae4b9c,jpg,CC-BY-NC,533,800,3
3979915b-0657-462c-9752-02aeaccbd663,282507,42.2973441780,-83.7736527542,31,462132,research,2020-04-27,48460/47170/48250/372740/152032/48717/56831/56830/1062674,10,species,Morchella americana,t,69717565,972c7974-7e0a-4055-ab98-562140c27aad,jpg,CC-BY-NC,2048,1536,0
f71a740c-bdd9-4c8e-833a-337ece5293c0,239596,40.7422000000,-80.7540500000,2672,133686,research,1982-04-25,48460/47170/48250/372740/152032/48717/56831/56830/1062676,10,species,Morchella angusticeps,t,13072826,63c1f8a6-f2c8-47f2-b647-40c2e0201426,jpeg,CC-BY-SA,1050,1427,0
52b2e2ad-631b-47e1-b9d2-fa198411c1ec,1675732,39.2183513162,-77.3347106925,28121,133684,research,2020-04-19,48460/47170/48250/372740/152032/48717/56831/56830/1062676,10,species,Morchella punctipes,t,67695265,8a1df6c0-83db-4768-892a-7358666e410b,jpg,CC-BY-NC,1536,2048,0
2e9aa29b-24a2-4ed3-9429-e629002e0c7e,696318,41.9873892265,-80.6204958746,27723,133686,research,2021-04-17,48460/47170/48250/372740/152032/48717/56831/56830/1062676,10,species,Morchella angusticeps,t,122635715,ac20e330-902f-490a-bcc0-440ca99d164b,jpg,CC-BY-NC,800,800,0
51e9718c-250c-435c-9996-9f9077681897,4203697,50.4525881405,13.8381892070,6337,58682,research,2021-05-23,48460/47170/48250/372740/152032/48717/56831/56830/1062674,10,species,Morchella esculenta,t,130993992,85663367-9531-4aaf-92d7-803a8e61bd29,jpeg,CC-BY-NC,1531,2048,0
2bbdab88-1af2-4f3c-a6d0-a5cd281dba4a,1597538,36.8229236780,138.2083576733,5,1053651,research,2021-05-01,48460/47170/48250/372740/152032/48717/56831/56830/1062674/58682,5,variety,Morchella esculenta esculenta,t,124380836,14d8a450-c265-4435-91f6-f8646f2aed13,jpg,CC-BY-NC,1536,2048,0
2bbdab88-1af2-4f3c-a6d0-a5cd281dba4a,1597538,36.8229236780,138.2083576733,5,1053651,research,2021-05-01,48460/47170/48250/372740/152032/48717/56831/56830/1062674/58682,5,variety,Morchella esculenta esculenta,t,124380773,750902b1-928f-4fc7-90ab-a00a71548b4d,jpg,CC-BY-NC,1536,2048,1
0bc0be50-47ca-4d19-a056-a31f1747d203,179103,37.6505378566,-122.3178010512,28359,487375,research,2021-03-22,48460/47170/48250/372740/152032/48717/56831/56830/1062676,10,species,Morchella importuna,t,117036925,9307e21e-2b5d-4ae7-b208-c5a75e1fcdf9,jpg,CC-BY-NC,1487,2048,0
4fb86d69-3731-42da-981a-a01c802f802d,4085677,41.2692297386,-81.4253450008,22,462132,research,2021-04-12,48460/47170/48250/372740/152032/48717/56831/56830/1062674,10,species,Morchella americana,t,120560187,438b857d-8512-448e-a134-8f3f16987618,jpg,CC-BY-NC,750,994,0
4b37bde0-9e14-47b1-a34e-cdb59c97e9d0,4228605,40.7207039000,-79.2096904000,3299,133686,research,2021-04-19,48460/47170/48250/372740/152032/48717/56831/56830/1062676,10,species,Morchella angusticeps,t,121825487,10468a5f-2193-437c-8d46-17873b5c1428,jpeg,CC-BY-NC,1536,2048,0
24a008f2-2b27-4b5e-a595-c323229e8fee,3928703,36.9666288453,28.8628169466,244,58682,research,2019-03-09,48460/47170/48250/372740/152032/48717/56831/56830/1062674,10,species,Morchella esculenta,t,118304657,fed97814-242f-47e4-ba59-c6bcdd04924e,jpg,CC-BY-NC,1153,2048,0
