file_name,supercategory
gs://medium_mush/fungi/images/inat/morels_MO/cropped18611716772.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped434183175.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped3941483062.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped712335675.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped59635617.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped878420242.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped1382828992.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped11846154522.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped3531416625.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped12911747423.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped6424187702.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped15128961883.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped532324110.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped101011457.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped1334740027.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped11015646862.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped7823578964.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped8854204722.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped67112962.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped7003343382.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped5893167643.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped87141967.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped5443257252.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped6283252783.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped552326105.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped342143558.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped25211921012.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped22811767622.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped2101175247.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped4710306153.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped93843856.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped10425218835.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped892420785.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped7663417433.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped538324847.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped1396844622.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped1691163511.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped732440342.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped1106600921.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped17211774542.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped791520280.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped40102512460.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped20211796602.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped102103614014.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped10565219063.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped460214540.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped14618666696.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped4592100712.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped4272038462.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped431204666.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped541037764.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped27312650.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped3651457893.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped1217618697.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped4422054592.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped1105600920.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped1009867421.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped9194221712.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped1149610835.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped1241041655.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped14628666703.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped2681260081.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped75744382.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped1146610832.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped31813318.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped768458395.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped137081993.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped30812859414.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped360145192.jpg,0
gs://medium_mush/fungi/images/inat/gyro_MO/cropped3081285941.jpg,1
gs://medium_mush/fungi/images/inat/gyro_MO/cropped29412853442.jpg,1
gs://medium_mush/fungi/images/inat/morels_MO/cropped489215130.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped164112774.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped470213100.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped440205457.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped1611122467.jpg,0
gs://medium_mush/fungi/images/inat/morels_MO/cropped869419652.jpg,0
