name,width,height,date,latitude,longitude,category_id,genus,specific_epithet,image_name,sub_dir,day,label,filepath
Fuscoporia gilva,375,500,2011-12-30,37.81807,-122.14483,5634,Fuscoporia,gilva,dd698d06-15b6-4310-9d99-cad50e9ff08c.jpg,05634_Fuscoporia_gilva,364,140,train_mini/05634_Fuscoporia_gilva/dd698d06-15b6-4310-9d99-cad50e9ff08c.jpg
Stereum versicolor,500,475,2009-12-11,-26.77723,152.88014,5713,Stereum,versicolor,ef801b0c-a26d-4cc1-8f36-82b1bc5c1d9a.jpg,05713_Stereum_versicolor,345,239,train_mini/05713_Stereum_versicolor/ef801b0c-a26d-4cc1-8f36-82b1bc5c1d9a.jpg
Chlorociboria aeruginascens,500,348,2011-09-15,59.28544,18.14873,5446,Chlorociboria,aeruginascens,bcb9fc2f-7a4e-4189-acb9-1baca5de45d5.jpg,05446_Chlorociboria_aeruginascens,258,154,train_mini/05446_Chlorociboria_aeruginascens/bcb9fc2f-7a4e-4189-acb9-1baca5de45d5.jpg
Amanita citrina,430,500,2011-09-14,59.1352,18.36397,5489,Amanita,citrina,1d7f4dfc-4d91-492b-9675-113cebbd27e2.jpg,05489_Amanita_citrina,257,266,train_mini/05489_Amanita_citrina/1d7f4dfc-4d91-492b-9675-113cebbd27e2.jpg
Boletus edulis,500,447,2011-09-09,59.18437,18.26948,5598,Boletus,edulis,8308e48f-9e9d-4084-b6bf-dd0d8554b7b7.jpg,05598_Boletus_edulis,252,187,train_mini/05598_Boletus_edulis/8308e48f-9e9d-4084-b6bf-dd0d8554b7b7.jpg
Artomyces pyxidatus,500,413,2011-09-09,59.18437,18.26948,5697,Artomyces,pyxidatus,7c8c5997-850d-4f34-ba81-cb46853fa1cb.jpg,05697_Artomyces_pyxidatus,252,274,train_mini/05697_Artomyces_pyxidatus/7c8c5997-850d-4f34-ba81-cb46853fa1cb.jpg
Gyromitra infula,333,500,2012-01-14,37.9324,-122.63588,5454,Gyromitra,infula,6bd460e8-20de-4cfc-9136-6355b18bf7a7.jpg,05454_Gyromitra_infula,14,56,train_mini/05454_Gyromitra_infula/6bd460e8-20de-4cfc-9136-6355b18bf7a7.jpg
Cladonia cristatella,500,375,2011-03-29,36.03016,-82.70214,5399,Cladonia,cristatella,ec927315-062f-46b3-b0ef-47ebb4847102.jpg,05399_Cladonia_cristatella,88,198,train_mini/05399_Cladonia_cristatella/ec927315-062f-46b3-b0ef-47ebb4847102.jpg
Amanita velosa,500,331,2012-02-20,38.61403,-122.79124,5500,Amanita,velosa,70c553ea-5c81-4f57-bc1d-9d8e3cdcce59.jpg,05500_Amanita_velosa,51,129,train_mini/05500_Amanita_velosa/70c553ea-5c81-4f57-bc1d-9d8e3cdcce59.jpg
Lactifluus volemus,500,391,2010-08-02,35.62505,-83.46417,5708,Lactifluus,volemus,0225b275-56cc-4488-9cf1-3da4466a96c6.jpg,05708_Lactifluus_volemus,214,39,train_mini/05708_Lactifluus_volemus/0225b275-56cc-4488-9cf1-3da4466a96c6.jpg
Ascocoryne sarcoides,500,447,2009-11-12,50.4065,8.92755,5447,Ascocoryne,sarcoides,4f2716d7-96ab-45c4-b461-52398f4a1127.jpg,05447_Ascocoryne_sarcoides,316,69,train_mini/05447_Ascocoryne_sarcoides/4f2716d7-96ab-45c4-b461-52398f4a1127.jpg
Tremella mesenterica,375,500,2012-03-25,42.47263,-71.52917,5728,Tremella,mesenterica,8a37e3d5-79cd-4d95-890a-7bc736c31288.jpg,05728_Tremella_mesenterica,85,283,train_mini/05728_Tremella_mesenterica/8a37e3d5-79cd-4d95-890a-7bc736c31288.jpg
Chrysothrix candelaris,279,500,2012-04-08,35.10349,-120.62402,5389,Chrysothrix,candelaris,9b2ac8dc-b527-4630-913e-1e52b2b3b46b.jpg,05389_Chrysothrix_candelaris,99,309,train_mini/05389_Chrysothrix_candelaris/9b2ac8dc-b527-4630-913e-1e52b2b3b46b.jpg
Sarcoscypha austriaca,500,374,2012-03-15,40.63507,-80.22812,5460,Sarcoscypha,austriaca,0a4cbdfd-9996-402b-9daa-fda51516521c.jpg,05460_Sarcoscypha_austriaca,75,127,train_mini/05460_Sarcoscypha_austriaca/0a4cbdfd-9996-402b-9daa-fda51516521c.jpg
Gliophorus psittacinus,375,500,2012-04-14,37.84333,-122.19419,5517,Gliophorus,psittacinus,f1620a6d-5dc3-4cfd-895e-3da1e8572d49.jpg,05517_Gliophorus_psittacinus,105,62,train_mini/05517_Gliophorus_psittacinus/f1620a6d-5dc3-4cfd-895e-3da1e8572d49.jpg
Cladonia cristatella,373,500,2012-04-28,43.98709,-72.98162,5399,Cladonia,cristatella,326eaf5a-9345-4093-a015-5f346ef8e35a.jpg,05399_Cladonia_cristatella,119,198,train_mini/05399_Cladonia_cristatella/326eaf5a-9345-4093-a015-5f346ef8e35a.jpg
Podaxis pistillaris,417,500,2007-08-09,32.24177,-110.939,5486,Podaxis,pistillaris,b62c29b1-f318-4401-aec7-9a93ce4db1d3.jpg,05486_Podaxis_pistillaris,221,101,train_mini/05486_Podaxis_pistillaris/b62c29b1-f318-4401-aec7-9a93ce4db1d3.jpg
Amanita fulva,500,333,2011-09-13,50.79915,-1.59319,5491,Amanita,fulva,b1ee32bd-fbdf-4975-b090-9ee2537a0638.jpg,05491_Amanita_fulva,256,176,train_mini/05491_Amanita_fulva/b1ee32bd-fbdf-4975-b090-9ee2537a0638.jpg
Phallus impudicus,333,500,2011-09-13,50.79915,-1.59319,5648,Phallus,impudicus,78ae90bc-c25e-4cdc-8edb-f15c03521dcd.jpg,05648_Phallus_impudicus,256,269,train_mini/05648_Phallus_impudicus/78ae90bc-c25e-4cdc-8edb-f15c03521dcd.jpg
Icmadophila ericetorum,500,375,2012-07-06,62.14562,9.36747,5436,Icmadophila,ericetorum,9134dcf6-9388-41ae-9e81-5c34803530b0.jpg,05436_Icmadophila_ericetorum,188,141,train_mini/05436_Icmadophila_ericetorum/9134dcf6-9388-41ae-9e81-5c34803530b0.jpg
Cantharellus lateritius,420,500,2012-08-08,40.96367,-81.33122,5624,Cantharellus,lateritius,bdc13a40-503d-4dcc-955e-c87410d9a20d.jpg,05624_Cantharellus_lateritius,221,215,train_mini/05624_Cantharellus_lateritius/bdc13a40-503d-4dcc-955e-c87410d9a20d.jpg
Laetiporus conifericola,500,375,2012-08-09,39.34863,-120.32502,5660,Laetiporus,conifericola,414de8a6-ef17-4d20-b58c-19dbffb24008.jpg,05660_Laetiporus_conifericola,222,5,train_mini/05660_Laetiporus_conifericola/414de8a6-ef17-4d20-b58c-19dbffb24008.jpg
Hypomyces chrysospermus,500,388,2012-08-23,41.25738,-81.62363,5465,Hypomyces,chrysospermus,065c9580-7f11-40df-ad42-1d627bd480b8.jpg,05465_Hypomyces_chrysospermus,236,48,train_mini/05465_Hypomyces_chrysospermus/065c9580-7f11-40df-ad42-1d627bd480b8.jpg
Trametes versicolor,500,375,2012-08-23,41.25738,-81.62363,5695,Trametes,versicolor,be809e34-15bc-42d1-9696-9a39d9aec238.jpg,05695_Trametes_versicolor,236,58,train_mini/05695_Trametes_versicolor/be809e34-15bc-42d1-9696-9a39d9aec238.jpg
Ramalina menziesii,360,480,2012-09-08,38.05439,-122.80914,5425,Ramalina,menziesii,756ba21f-5405-4583-bd61-7a176e867027.jpg,05425_Ramalina_menziesii,252,247,train_mini/05425_Ramalina_menziesii/756ba21f-5405-4583-bd61-7a176e867027.jpg
Punctelia rudecta,500,375,2012-08-05,42.44192,-71.33794,5418,Punctelia,rudecta,5c8b623e-c0a3-4a1c-b800-81361888583b.jpg,05418_Punctelia_rudecta,218,73,train_mini/05418_Punctelia_rudecta/5c8b623e-c0a3-4a1c-b800-81361888583b.jpg
